==============================================================================
NIFTY 100 - SPRINT 2 DAY 13 RATIO EDGE CASE LOG
==============================================================================

FINANCIALS CARVE-OUT
------------------------------------------------------------------------------
Financials companies found: 23
Expected specification count: 19
Actual database count: 23
High leverage flags on Financials rows: 0
STATUS: PASS - Financials leverage warning suppression is working.

Financials companies:
  - AXISBANK
  - BAJAJFINSV
  - BAJAJHLDNG
  - BAJFINANCE
  - BANKBARODA
  - CANBK
  - CHOLAFIN
  - HDFCBANK
  - HDFCLIFE
  - ICICIBANK
  - ICICIGI
  - ICICIPRULI
  - INDUSINDBK
  - IRFC
  - JIOFIN
  - KOTAKBANK
  - LICI
  - PFC
  - PNB
  - RECLTD
  - SBILIFE
  - SBIN
  - SHRIRAMFIN

ROCE SOURCE COMPARISON
------------------------------------------------------------------------------
Anomaly threshold: absolute difference > 5 percentage points
ROCE anomalies found: 833

BPCL | 2015 | calculated=17.0662 | source=32.1000 | difference=15.0338 | category=formula discrepancy
BPCL | 2016 | calculated=16.0232 | source=32.1000 | difference=16.0768 | category=formula discrepancy
BPCL | 2017 | calculated=12.3242 | source=32.1000 | difference=19.7758 | category=formula discrepancy
BPCL | 2018 | calculated=11.0410 | source=32.1000 | difference=21.0590 | category=formula discrepancy
BPCL | 2019 | calculated=9.8093 | source=32.1000 | difference=22.2907 | category=formula discrepancy
BPCL | 2020 | calculated=8.0396 | source=32.1000 | difference=24.0604 | category=formula discrepancy
BPCL | 2021 | calculated=7.5874 | source=32.1000 | difference=24.5126 | category=formula discrepancy
BPCL | 2022 | calculated=7.0432 | source=32.1000 | difference=25.0568 | category=version difference
BPCL | 2023 | calculated=6.6730 | source=32.1000 | difference=25.4270 | category=version difference
BPCL | 2024 | calculated=6.2971 | source=32.1000 | difference=25.8029 | category=version difference
BRITANNIA | 2015 | calculated=34.0288 | source=48.9000 | difference=14.8712 | category=formula discrepancy
BRITANNIA | 2016 | calculated=21.2776 | source=48.9000 | difference=27.6224 | category=version difference
BRITANNIA | 2017 | calculated=16.7671 | source=48.9000 | difference=32.1329 | category=version difference
BRITANNIA | 2018 | calculated=13.1134 | source=48.9000 | difference=35.7866 | category=version difference
BRITANNIA | 2019 | calculated=10.7281 | source=48.9000 | difference=38.1719 | category=version difference
BRITANNIA | 2020 | calculated=7.9616 | source=48.9000 | difference=40.9384 | category=version difference
BRITANNIA | 2021 | calculated=8.3422 | source=48.9000 | difference=40.5578 | category=version difference
BRITANNIA | 2022 | calculated=9.3868 | source=48.9000 | difference=39.5132 | category=version difference
BRITANNIA | 2023 | calculated=7.2424 | source=48.9000 | difference=41.6576 | category=version difference
BRITANNIA | 2024 | calculated=7.8755 | source=48.9000 | difference=41.0245 | category=version difference
CANBK | 2014 | calculated=1.5100 | source=6.6300 | difference=5.1200 | category=formula discrepancy
CANBK | 2015 | calculated=1.3570 | source=6.6300 | difference=5.2730 | category=formula discrepancy
CANBK | 2016 | calculated=1.3390 | source=6.6300 | difference=5.2910 | category=formula discrepancy
CANBK | 2017 | calculated=1.2675 | source=6.6300 | difference=5.3625 | category=formula discrepancy
CANBK | 2018 | calculated=1.2019 | source=6.6300 | difference=5.4281 | category=formula discrepancy
CANBK | 2019 | calculated=1.0650 | source=6.6300 | difference=5.5650 | category=formula discrepancy
CANBK | 2020 | calculated=1.0177 | source=6.6300 | difference=5.6123 | category=formula discrepancy
CANBK | 2021 | calculated=0.6426 | source=6.6300 | difference=5.9874 | category=formula discrepancy
CANBK | 2022 | calculated=0.6003 | source=6.6300 | difference=6.0297 | category=formula discrepancy
CANBK | 2023 | calculated=0.5489 | source=6.6300 | difference=6.0811 | category=formula discrepancy
CANBK | 2024 | calculated=0.4938 | source=6.6300 | difference=6.1362 | category=formula discrepancy
CHOLAFIN | 2013 | calculated=4.0996 | source=10.4000 | difference=6.3004 | category=formula discrepancy
